"Cert #","Type","Description","Grade","After Service"
"83379463","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS PURPLE SHOCK","MINT 9 ","Shipped to you"
"83379464","Card","2022 PANINI CLEARLY DONRUSS 53 MALIK WILLIS HOLO MOSAIC","GEM MINT 10 ","Shipped to you"
"83379465","Card","2022 PANINI SELECT 38 MALIK WILLIS PURPLE PRIZM","GEM MINT 10 ","Shipped to you"
"83379466","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS HOLO","GEM MINT 10 ","Shipped to you"
"83379467","Card","2022 PANINI PRIZM 303 MALIK WILLIS GREEN PRIZM","GEM MINT 10 ","Shipped to you"
"83379468","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS WAVE","GEM MINT 10 ","Shipped to you"
"83379469","Card","2021 PANINI PRIZM 346 ELIJAH MOORE NEON GREEN PULSAR","GEM MINT 10 ","Shipped to you"
"83379470","Card","2022 PANINI SELECT TURBOCHARGED TUR21 MALIK WILLIS ZEBRA","NEAR MINT-MINT 8 ","Shipped to you"
"83379471","Card","2022 PANINI SELECT 38 MALIK WILLIS DRAGON SCALE PRIZM","GEM MINT 10 ","Shipped to you"
"83379472","Card","2022 PANINI DONRUSS OPTIC 203 MALIK WILLIS RED","MINT 9 ","Shipped to you"
"83379473","Card","2022 PANINI DONRUSS OPTIC THE ROOKIES TR2 MALIK WILLIS ICE","EXCELLENT-MINT 6 ","Shipped to you"
"83379474","Card","2023 PANINI PRIZM DRAFT PICKS 71 MALIK WILLIS SNAKESKIN PRIZM","MINT 9 ","Shipped to you"
"83379475","Card","2022 PANINI SELECT 38 MALIK WILLIS RED DISCO PRIZM","GEM MINT 10 ","Shipped to you"
