Cert #,Type,Description,Grade,After Service
87011120,Card,2021 BOWMAN MEGA BOX CHROME BCP97 KEVIN ALCANTARA,GEM MINT 10 ,Shipped to you
87011121,Card,2023 PANINI PRIZM 341 TANK DELL SILVER PRIZM,NEAR MINT-MINT 8 ,Shipped to you
87011122,Card,2018 PANINI HOOPS 268 LUKA DONCIC,GEM MINT 10 ,Shipped to you
87011123,Card,2023 PANINI PRIZM 307 ZAY FLOWERS LAZER PRIZM,MINT 9 ,Shipped to you
87011124,Card,2023 PANINI DONRUSS 331 JAHMYR GIBBS OPTIC PREVIEW-BLUE SCOPE,GEM MINT 10 ,Shipped to you
87011125,Card,2023 PANINI PRIZM 131 ANDRE JACKSON JR. ICE,MINT 9 ,Shipped to you
87011126,Card,2023 PANINI MOSAIC NFL DEBUT ND5 ANTHONY RICHARDSON MOSAIC,MINT 9 ,Shipped to you
87011127,Card,2023 PANINI PRIZM PRIZM BREAK PB4 ANTHONY RICHARDSON GREEN PRIZM,GEM MINT 10 ,Shipped to you
87011128,Card,2023 PANINI PRIZM 304 ANTHONY RICHARDSON VARIATION,NEAR MINT-MINT 8 ,Shipped to you
87011129,Card,2023 PANINI MOSAIC NFL DEBUT ND5 ANTHONY RICHARDSON REACTIVE BLUE,MINT 9 ,Shipped to you
87011130,Card,2023 PANINI MOSAIC NFL DEBUT ND5 ANTHONY RICHARDSON CAMO PINK,MINT 9 ,Shipped to you
87011131,Card,2023 PANINI MOSAIC NFL DEBUT ND6 DORIAN THOMPSON-ROBINSON BLUE NO HUDDLE,MINT 9 ,Shipped to you
87011132,Card,2023 PANINI PRIZM 390 JAXON SMITH-NJIGBA NEON GREEN PULSAR,GEM MINT 10 ,Shipped to you
87011133,Card,2022 PANINI PRIZM 303 MALIK WILLIS GREEN SCOPE,NEAR MINT-MINT 8 ,Shipped to you
87011134,Card,2022 PANINI MOSAIC 302 MALIK WILLIS BLUE SPARKLE,GEM MINT 10 ,Shipped to you
87011135,Card,2023 PANINI PRIZM 311 BRYCE YOUNG DISCO PRIZM,NEAR MINT-MINT 8 ,Shipped to you
87011136,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPARA RAYNER ARIAS,MINT 9 ,Shipped to you
87011137,Card,2023 BOWMAN MEGA BOX CHROME PROSPECT AUTOGRAPHS JC JUNIOR CAMINERO,GEM MINT 10 ,Shipped to you
87011138,Card,2023 TOPPS CHROME LIDS 2008 DESIGN 08-1 CORBIN CARROLL,GEM MINT 10 ,Shipped to you
87011139,Card,2023 TOPPS CHROME LIDS 2008 DESIGN 08-1 CORBIN CARROLL,GEM MINT 10 ,Shipped to you
87011140,Card,2023 BOWMAN CHROME MEGA BOX AUTOGRAPHS FC FELNIN CELESTEN,GEM MINT 10 ,Shipped to you
87011141,Card,2023 BOWMAN MEGA BOX CHROME 156 FELNIN CELESTEN,MINT 9 ,Shipped to you
87011142,Card,2023 BOWMAN MEGA BOX CHROME 156 FELNIN CELESTEN,MINT 9 ,Shipped to you
87011143,Card,2021 BOWMAN DRAFT CHROME SAPPHIRE EDITION BDC41 BUBBA CHANDLER YELLOW,MINT 9 ,Shipped to you
87011144,Card,2021 BOWMAN DRAFT BDC48 HENRY DAVIS CHROME-GREEN SPARKLE REFRACTOR,MINT 9 ,Shipped to you
87011145,Card,2023 BOWMAN MEGA BOX CHROME 228 WELBYN FRANCISCA GOLD,MINT 9 ,Shipped to you
87011146,Card,2023 BOWMAN CHROME PROSPECTS BCP228 WELBYN FRANCISCA PURPLE,MINT 9 ,Shipped to you
87011147,Card,2023 BOWMAN MEGA BOX CHROME 228 WELBYN FRANCISCA,MINT 9 ,Shipped to you
87011148,Card,2023 BOWMAN MEGA BOX CHROME 133 GABRIEL GONZALEZ,GEM MINT 10 ,Shipped to you
87011149,Card,2022 BOWMAN DRAFT BDC23 ELIJAH GREEN CHROME-GOLD REFRACTOR,MINT 9 ,Shipped to you
87011150,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPALG LUIS GUANIPA,GEM MINT 10 ,Shipped to you
87011151,Card,2023 BOWMAN CHROME PROSPECTS BCP200 LUIS GUANIPA GREEN SHIMMER,EXCELLENT-MINT 6 ,Shipped to you
87011152,Card,2023 BOWMAN CHROME PROSPECTS BCP200 LUIS GUANIPA FUCHSIA/PINK VAPOR,GEM MINT 10 ,Shipped to you
87011153,Card,2022 BOWMAN DRAFT BDC168 JACKSON HOLLIDAY CHROME,NEAR MINT-MINT 8 ,Shipped to you
87011154,Card,2022 BOWMAN DRAFT BDC168 JACKSON HOLLIDAY CHROME-REFRACTOR,MINT 9 ,Shipped to you
87011155,Card,2022 BOWMAN DRAFT BDC168 JACKSON HOLLIDAY CHROME-REFRACTOR,MINT 9 ,Shipped to you
87011156,Card,2022 BOWMAN DRAFT CHROME SAPPHIRE EDITION BDC168 JACKSON HOLLIDAY ,EXCELLENT 5 ,Shipped to you
87011157,Card,2023 BOWMAN CHROME PROSPECTS BCP20 JACKSON HOLLIDAY BLUE REFRACTOR,MINT 9 ,Shipped to you
87011158,Card,2023 BOWMAN MEGA BOX CHROME 145 XAVIER ISAAC,GEM MINT 10 ,Shipped to you
87011159,Card,2023 BOWMAN MEGA BOX CHROME 145 XAVIER ISAAC,GEM MINT 10 ,Shipped to you
87011160,Card,2023 BOWMAN MEGA BOX CHROME 145 XAVIER ISAAC,GEM MINT 10 ,Shipped to you
87011161,Card,1996 STADIUM CLUB MEMBERS ONLY 55 54 ALLEN IVERSON W/COATING,N6: MINIMUM SIZE REQUIREMENT,Shipped to you
87011162,Card,2023 BOWMAN CHROME PROSPECTS BCP88 TERMARR JOHNSON ATOMIC REFRACTOR,MINT 9 ,Shipped to you
87011163,Card,2023 BOWMAN SAPPHIRE EDITION CHROME PROSPECTS AUTOGRAPHS BSPATJ TERMARR JOHNSON,MINT 9 ,Shipped to you
87011164,Card,2023 BOWMAN CHROME PROSPECTS BCP25 DRUW JONES PURPLE RAYWAVE REFRACTOR,MINT 9 ,Shipped to you
87011165,Card,2023 BOWMAN MEGA BOX CHROME BCP139 SPENCER JONES BLUE,GEM MINT 10 ,Shipped to you
87011166,Card,2023 PANINI DONRUSS 397 WILL LEVIS,MINT 9 ,Shipped to you
87011167,Card,2023 PANINI DONRUSS 397 WILL LEVIS,MINT 9 ,Shipped to you
87011168,Card,2023 PANINI DONRUSS 397 WILL LEVIS OPTIC PREVIEW-PINK,GEM MINT 10 ,Shipped to you
87011169,Card,2023 BOWMAN MEGA BOX CHROME 188 BRANDON MAYEA,GEM MINT 10 ,Shipped to you
87011170,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPABMA BRANDON MAYEA REFRACTOR,MINT 9 ,Shipped to you
87011171,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPABMA BRANDON MAYEA REFRACTOR,GEM MINT 10 ,Shipped to you
87011172,Card,2023 BOWMAN CHROME SAPPHIRE EDITION PROSPECTS 188 BRANDON MAYEA,GEM MINT 10 ,Shipped to you
87011173,Card,2023 BOWMAN CHROME SAPPHIRE EDITION PROSPECTS 188 BRANDON MAYEA,MINT 9 ,Shipped to you
87011174,Card,2023 BOWMAN CHROME PROSPECTS BCP188 BRANDON MAYEA FUCHSIA/PINK VAPOR,GEM MINT 10 ,Shipped to you
87011175,Card,2023 BOWMAN CHROME PROSPECTS BCP124 ROBERT PEREZ JR. REFRACTOR,GEM MINT 10 ,Shipped to you
87011176,Card,2023 PANINI DONRUSS 343 ANTHONY RICHARDSON,GEM MINT 10 ,Shipped to you
87011177,Card,2023 PANINI DONRUSS 343 ANTHONY RICHARDSON,GEM MINT 10 ,Shipped to you
87011178,Card,2023 PANINI DONRUSS 343 ANTHONY RICHARDSON,MINT 9 ,Shipped to you
87011179,Card,2023 PANINI MOSAIC 282 ANTHONY RICHARDSON GREEN,MINT 9 ,Shipped to you
87011180,Card,2023 PANINI MOSAIC 282 ANTHONY RICHARDSON SILVER NO HUDDLE,GEM MINT 10 ,Shipped to you
87011181,Card,2023 PANINI MOSAIC NFL DEBUT ND5 ANTHONY RICHARDSON ORANGE FLUORESCENT,GEM MINT 10 ,Shipped to you
87011182,Card,2023 PANINI MOSAIC 282 ANTHONY RICHARDSON RED,MINT 9 ,Shipped to you
87011183,Card,2023 PANINI DONRUSS 305 BIJAN ROBINSON,GEM MINT 10 ,Shipped to you
87011184,Card,2023 PANINI PRIZM 305 BIJAN ROBINSON VARIATION,GEM MINT 10 ,Shipped to you
87011185,Card,2023 BOWMAN CHROME PROSPECTS BCP171 ETHAN SALAS,GEM MINT 10 ,Shipped to you
87011186,Card,2023 BOWMAN MEGA BOX CHROME 171 ETHAN SALAS PINK,GEM MINT 10 ,Shipped to you
87011187,Card,2023 BOWMAN DRAFT BDC14 PAUL SKENES CHROME-SPARKLE,NEAR MINT 7 ,Shipped to you
87011188,Card,2023 PANINI DONRUSS 339 CJ STROUD,MINT 9 ,Shipped to you
87011189,Card,2023 BOWMAN CHROME SAPPHIRE EDITION PROSPECTS 218 JOENDRY VARGAS,GEM MINT 10 ,Shipped to you
87011190,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPAJV JOENDRY VARGAS REFRACTOR,GEM MINT 10 ,Shipped to you
87011191,Card,2023 BOWMAN CHROME PROSPECT AUTOGRAPHS CPAJV JOENDRY VARGAS SPECKLE,GEM MINT 10 ,Shipped to you
87011192,Card,2023 BOWMAN MEGA BOX CHROME 189 SEBASTIAN WALCOTT,MINT 9 ,Shipped to you
